accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.740740741,18,22,5,9,0.72,0.782608696,0.666666667,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.666666667,19,17,10,8,0.678571429,0.655172414,0.703703704,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.685185185,17,20,7,10,0.666666667,0.708333333,0.62962963,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.722222222,19,20,7,8,0.716981132,0.730769231,0.703703704,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.759259259,18,23,4,9,0.734693878,0.818181818,0.666666667,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.685185185,17,20,7,10,0.666666667,0.708333333,0.62962963,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.722222222,22,17,10,5,0.745762712,0.6875,0.814814815,train,,,,0.388888889,3,4,5,6,0.352941176,0.375,0.333333333,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.555555556,7,3,6,2,0.636363636,0.538461538,0.777777778,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.611111111,16,17,10,11,0.603773585,0.615384615,0.592592593,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.796296296,23,20,7,4,0.807017544,0.766666667,0.851851852,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.722222222,8,5,4,1,0.761904762,0.666666667,0.888888889,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.703703704,18,20,7,9,0.692307692,0.72,0.666666667,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.685185185,17,20,7,10,0.666666667,0.708333333,0.62962963,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.722222222,8,5,4,1,0.761904762,0.666666667,0.888888889,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.555555556,7,3,6,2,0.636363636,0.538461538,0.777777778,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.666666667,19,17,10,8,0.678571429,0.655172414,0.703703704,train,,,,0.388888889,3,4,5,6,0.352941176,0.375,0.333333333,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.851851852,22,24,3,5,0.846153846,0.88,0.814814815,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.703703704,18,20,7,9,0.692307692,0.72,0.666666667,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.796296296,19,24,3,8,0.775510204,0.863636364,0.703703704,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.722222222,18,21,6,9,0.705882353,0.75,0.666666667,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.722222222,19,20,7,8,0.716981132,0.730769231,0.703703704,train,,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.5,7,2,7,2,0.608695652,0.5,0.777777778,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.388888889,4,3,6,5,0.421052632,0.4,0.444444444,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.777777778,18,24,3,9,0.75,0.857142857,0.666666667,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.703703704,19,19,8,8,0.703703704,0.703703704,0.703703704,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.740740741,21,19,8,6,0.75,0.724137931,0.777777778,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.703703704,19,19,8,8,0.703703704,0.703703704,0.703703704,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.62962963,17,17,10,10,0.62962963,0.62962963,0.62962963,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.685185185,19,18,9,8,0.690909091,0.678571429,0.703703704,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.777777778,9,5,4,0,0.818181818,0.692307692,1,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.851851852,23,23,4,4,0.851851852,0.851851852,0.851851852,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.703703704,20,18,9,7,0.714285714,0.689655172,0.740740741,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.796296296,19,24,3,8,0.775510204,0.863636364,0.703703704,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.814814815,20,24,3,7,0.8,0.869565217,0.740740741,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.666666667,19,17,10,8,0.678571429,0.655172414,0.703703704,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.814814815,19,25,2,8,0.791666667,0.904761905,0.703703704,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.722222222,4,9,0,5,0.615384615,1,0.444444444,test
0.851851852,22,24,3,5,0.846153846,0.88,0.814814815,train,,,,0.388888889,4,3,6,5,0.421052632,0.4,0.444444444,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,19,25,2,8,0.791666667,0.904761905,0.703703704,train,,,,0.333333333,4,2,7,5,0.4,0.363636364,0.444444444,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.722222222,4,9,0,5,0.615384615,1,0.444444444,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.444444444,2,6,3,7,0.285714286,0.4,0.222222222,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.796296296,22,21,6,5,0.8,0.785714286,0.814814815,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.444444444,3,5,4,6,0.375,0.428571429,0.333333333,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.388888889,4,3,6,5,0.421052632,0.4,0.444444444,test
0.722222222,19,20,7,8,0.716981132,0.730769231,0.703703704,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.814814815,20,24,3,7,0.8,0.869565217,0.740740741,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.740740741,22,18,9,5,0.75862069,0.709677419,0.814814815,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.555555556,3,7,2,6,0.428571429,0.6,0.333333333,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.87037037,23,24,3,4,0.867924528,0.884615385,0.851851852,train,,,,0.444444444,6,2,7,3,0.545454545,0.461538462,0.666666667,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.555555556,7,3,6,2,0.636363636,0.538461538,0.777777778,test
0.685185185,19,18,9,8,0.690909091,0.678571429,0.703703704,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.740740741,17,23,4,10,0.708333333,0.80952381,0.62962963,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.759259259,18,23,4,9,0.734693878,0.818181818,0.666666667,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.5,3,6,3,6,0.4,0.5,0.333333333,test
0.703703704,18,20,7,9,0.692307692,0.72,0.666666667,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.388888889,2,5,4,7,0.266666667,0.333333333,0.222222222,test
0.87037037,25,22,5,2,0.877192982,0.833333333,0.925925926,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.759259259,18,23,4,9,0.734693878,0.818181818,0.666666667,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.703703704,19,19,8,8,0.703703704,0.703703704,0.703703704,train,,,,0.444444444,1,7,2,8,0.166666667,0.333333333,0.111111111,test
0.722222222,21,18,9,6,0.736842105,0.7,0.777777778,train,,,,0.555555556,7,3,6,2,0.636363636,0.538461538,0.777777778,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.722222222,20,19,8,7,0.727272727,0.714285714,0.740740741,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.685185185,18,19,8,9,0.679245283,0.692307692,0.666666667,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.685185185,15,22,5,12,0.638297872,0.75,0.555555556,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.5,7,2,7,2,0.608695652,0.5,0.777777778,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.555555556,7,3,6,2,0.636363636,0.538461538,0.777777778,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.740740741,18,22,5,9,0.72,0.782608696,0.666666667,train,,,,0.666666667,4,8,1,5,0.571428571,0.8,0.444444444,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.777777778,18,24,3,9,0.75,0.857142857,0.666666667,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.814814815,19,25,2,8,0.791666667,0.904761905,0.703703704,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.388888889,4,3,6,5,0.421052632,0.4,0.444444444,test
0.87037037,22,25,2,5,0.862745098,0.916666667,0.814814815,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.611111111,2,9,0,7,0.363636364,1,0.222222222,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.388888889,3,4,5,6,0.352941176,0.375,0.333333333,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.5,2,7,2,7,0.307692308,0.5,0.222222222,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.444444444,6,2,7,3,0.545454545,0.461538462,0.666666667,test
0.740740741,21,19,8,6,0.75,0.724137931,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.777777778,22,20,7,5,0.785714286,0.75862069,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.685185185,19,18,9,8,0.690909091,0.678571429,0.703703704,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.777777778,23,19,8,4,0.793103448,0.741935484,0.851851852,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.796296296,19,24,3,8,0.775510204,0.863636364,0.703703704,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.703703704,17,21,6,10,0.68,0.739130435,0.62962963,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.87037037,24,23,4,3,0.872727273,0.857142857,0.888888889,train,,,,0.444444444,3,5,4,6,0.375,0.428571429,0.333333333,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.796296296,22,21,6,5,0.8,0.785714286,0.814814815,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.777777778,22,20,7,5,0.785714286,0.75862069,0.814814815,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.814814815,20,24,3,7,0.8,0.869565217,0.740740741,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.796296296,19,24,3,8,0.775510204,0.863636364,0.703703704,train,,,,0.833333333,7,8,1,2,0.823529412,0.875,0.777777778,test
0.759259259,17,24,3,10,0.723404255,0.85,0.62962963,train,,,,0.444444444,5,3,6,4,0.5,0.454545455,0.555555556,test
0.740740741,21,19,8,6,0.75,0.724137931,0.777777778,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.666666667,17,19,8,10,0.653846154,0.68,0.62962963,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.722222222,7,6,3,2,0.736842105,0.7,0.777777778,test
0.62962963,17,17,10,10,0.62962963,0.62962963,0.62962963,train,,,,0.444444444,2,6,3,7,0.285714286,0.4,0.222222222,test
0.759259259,20,21,6,7,0.754716981,0.769230769,0.740740741,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.777777778,19,23,4,8,0.76,0.826086957,0.703703704,train,,,,0.555555556,3,7,2,6,0.428571429,0.6,0.333333333,test
0.722222222,18,21,6,9,0.705882353,0.75,0.666666667,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.685185185,18,19,8,9,0.679245283,0.692307692,0.666666667,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.759259259,19,22,5,8,0.745098039,0.791666667,0.703703704,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.796296296,22,21,6,5,0.8,0.785714286,0.814814815,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.814814815,21,23,4,6,0.807692308,0.84,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.777777778,23,19,8,4,0.793103448,0.741935484,0.851851852,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.796296296,19,24,3,8,0.775510204,0.863636364,0.703703704,train,,,,0.444444444,2,6,3,7,0.285714286,0.4,0.222222222,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.5,5,4,5,4,0.526315789,0.5,0.555555556,test
0.722222222,18,21,6,9,0.705882353,0.75,0.666666667,train,,,,0.833333333,7,8,1,2,0.823529412,0.875,0.777777778,test
0.833333333,21,24,3,6,0.823529412,0.875,0.777777778,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.740740741,20,20,7,7,0.740740741,0.740740741,0.740740741,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.740740741,21,19,8,6,0.75,0.724137931,0.777777778,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.685185185,18,19,8,9,0.679245283,0.692307692,0.666666667,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.814814815,22,22,5,5,0.814814815,0.814814815,0.814814815,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.833333333,21,24,3,6,0.823529412,0.875,0.777777778,train,,,,0.5,3,6,3,6,0.4,0.5,0.333333333,test
0.777777778,21,21,6,6,0.777777778,0.777777778,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.555555556,6,4,5,3,0.6,0.545454545,0.666666667,test
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.444444444,4,4,5,5,0.444444444,0.444444444,0.444444444,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.685185185,18,19,8,9,0.679245283,0.692307692,0.666666667,train,,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.648148148,16,19,8,11,0.62745098,0.666666667,0.592592593,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.740740741,22,18,9,5,0.75862069,0.709677419,0.814814815,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.5,3,6,3,6,0.4,0.5,0.333333333,test
0.703703704,18,20,7,9,0.692307692,0.72,0.666666667,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.777777778,20,22,5,7,0.769230769,0.8,0.740740741,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.851851852,23,23,4,4,0.851851852,0.851851852,0.851851852,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
